 33814|Chunchana Guppe Post, Tavarekere Hobli|Aalammana Palya|562130|GKLPS Aalammana Palya In Side|Mulkatamma Temple|School White Colour Compound & No Play Ground|White Colour Building|242H, 227L|10440|10441|
 33785|Chunchanaguppe post,tavarekere hobli|Kodasiddanapalya|562130||Opposite to kodasiddanapalya bus stop|White colour building|White colour compound,no play ground|240P,X,XA|10435|10436|
 33779|Chunchanaguppe post,tavarekere hobli|Madapattana|562130|Opposite to Madapattana bus stop|Opposite to milk dairy|No compouund,no playground|Cream colour building|227L,242M|10442|10443|
 33778|Chunchana Guppe Post,Tavarekare Hobli|Chandrappa Circle|562130|Chandrappa Circle Bus Stop||White Colour Compound,No Play Ground|Cream Colour Building|227A-Z|10452|10453|
 33770|Chunchanaguppe Post, Tavarekere Hobli|Kethohalli|562130|Opposite Kethohalli Bus Stop||G.K.H.P.S Kethohalli In Side|White Colour Building & No Compound & No Play Ground|227 A, 227 Z|10468|10469|
 33776|Chunchanguppe Post, Thaverekere Hobli, Bangalore|Byalalu|562130|Near Byalalu Bus Stop & Near Ashwath Katte|Opposite Hotel Chandra Bhavan|Yellow Colour Building & Blue Colour Door & White Colour Compound & Blue Colour Gate|Sheet Building|227 A, 227 V, 227 M|20747|20748|
 33764|Ramohalli Post, Thavarekere Hobli, Bangalore|Koluru|560060|Opposite Koluru Bus Stop|Beside Koluru Bus Stop|Blue Colour Building|Green Colour Door|227 R, 227 D|20737|20738|
 33767|Chikkanahalli Post, Tavarekere Hobli|Chikkanahalli|562130|Opposite Chikkanahalli Bus Stop||Light Pink Colour Building|No Compound & No Play Ground|242 W, 227 U, 227 Z, 227 A|10413|10414|
 33769|Chunchanaguppe Post, Tavarekere Hobli|Hulivenahalli|562130|Opposite Hulivenahalli Bus Stop||G.K.H.P.S Hulivenahalli In Side|Cream Colour Building|242 P, 227 E, 227 V|10429|10430|
 33748|Chunchanguppe Post, Thaverekere Hobli, Bangalore|Chunchanguppe|562130|Inside G.K.H.P.S Chunchanguppe|Near Chunchanguppe Bus Stop|Yellow Colour Building|Shutter Door|227 A, 227 B, 227 C, 227 D|20745|20746|
 33752|Chikkanahalli Post, Tavarekere Hobli|S.Gollahalli|562130|Opposite S.Gollahalli Bus Stop|Near S.Gollahalli Milk Dairy|Green Colour Building|No Play Ground & No Compound|242 W, 227 U, 227 Z, 227 A|10419|10420|
 33758|Ramohalli Post, Thavarekere Hobli, Bangalore|Gopalnagar|560060|Inside G.K.H.P.S Gopalnagar|Near Gopalnagar Bus Stop|Yellow Colour Building|Blue Colour Door|227 T|20712|20713|
 31362|Thavarekere Post, Thavarekere Hobli, Bangalore|Lakshmipura|562130|Near G.K.L.P.S Lakshmipura And Lakshmipura Bus Stop|Opposite Maramma Temple|White Colour Building And Green Colour Door|Sheet Building And Infront Yellow Colour Water Tank|242U|21364|21365|
 33744|Chikkanahalli Post, Thaverekere Hobli, Bangalore|Doderi|562130|Inside G.K.H.P.S Dodderi & Near Anjaneya Temple|Near Dodderi Bus Stop & Near Maramma Temple & Near Asshwath Katte|Yellow Colour Door|Yellow Colour Building|231 D, 231 E, 231 F|20720|20721|20722
 33746|Chikkanahalli Post, Tavarekere Hobli|Sulivara|562130|Near Sulivara Bus Stop||Pink Colour Building|No Compound & No Play Ground|242 V, 227, 227 N, 227 K, 227 V|10423|10424|
 31082|Janatha Colony, Chunchanaguppe Post, Tavarekere Hobli|Ganapathihalli|562130|Near Ganapathihalli Bus Stop||No Compound & No Play Ground|Light Pink Colour Building|377, 227 N|10466|10467|
 31336|Magadi Main Road, Thavarekere Post, Thavarekere Hobli, Bangalore|Devamacho Halli|562130|Near G.K.H.P.S Devamacho Halli and Beside Ashwath Katte|Opposite Decamacho Halli Lake|White Colour Building|Blue Colour Door|242E, 242R, 242PA,242Z|21368|21369|
 33666|Anekal Taluk, Madiwala Post|Kodulu|560068|Near Eshawara Temple||No Painted Compound, Playground|Cram Colour Building||10475|10476|
 31040|Tavarekere Post, Tavarekere Hobli, Bangalore|Gangenahalli|562130|Near G.K.H.P.S Gangenahalli|Near Anjaneya Swamy Temple|White Colour Building & Infront Coconut Tree|Sheet Building & Infront Water Tank|242 Q|21246|21247|
 31027|1st Cross, Raja Beedi, Magadi Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Tavarekere|562130|Beside Tavarekere Grama Panchayath Office|Near Canara Bank &|White & Blue Colour Building & Near Tavarekere Bus Stop|Sheet Building & Beside Gangamma Temple Arch|242 A, 242 B, 242 Z|21258|21259|
 30505|Magadi Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Kurubarahalli|562130|Behind Anjaneya Swamy Temple|Near G.K.L.P.S Kurubarahalli|Yellow Colour Building|Green Colour Door & Compound Inside Eight Coconut Trees|242 A, 242 B, 242 Z|21242|21243|
 30511|Thippagondanahalli Post, Tavarekere Hobli, Bangalore|Kempagondanahalli|562120|Near Madduramma Temple|Near G.K.L.P.S Kempagondanahalli|Blue Colour Building & Green Colour Door|Sheet Building|242 Z|21284|21285|
 30500|Tavarekere To Nelamangala Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Mettipalya|562130|Opposite G.K.L.P.S Mettipalya|Near Mettipalya Bus Stop|Yellow Colour Building|Blue Colour Door|242 T, 242 L, 242 TC, 374|21254|21255|
 30503|Magadi Main Road, Kadabagere Post, Tavarekere Hobli, Bangalore|Channenahalli|562130|Near Muneshwara Swamy Temple|Near Ashwath Katte|White Colour Building & Infront Black Colour Water Tank|Blue Colour Door|242 A, 242 B, 242 Z|21216|21217|
 30501|Magadi Main Road, Thavarekere Post, Thavarekere Hobli, Bangalore|Jogerahalli|562130|Compound Infront Gangadareshwara Temple|infront Jogerahalli|Yellow Colour Building And Brown Colour Door|Yellow Colour Compound And Red Colour Gate And Sheet Building|242R|21372|21373|
 30499|Magadi Main Road, Kadabagere Post, Tavarekere Hobli, Bangalore|Jattipalya|562130|Near Channenahalli Bus Stop|Near G.K.L.P.S Jattipalya|White Colour Building & Sheet Building|White Colour Compond|242 FA, 242 A, 242 B|21220|21221|
 30497|Sampige Road, Kuvempu Nagar, Tavarekere Post, Tavarekere Hobli, Bangalore|Tavarekere Janatha Colony|562130|Near Sri Rama Bhajana Mandira|Near G.K.Tent House|Yellow Colour Building|Brown Colour Door|242 A, 242 B, 242 Z|21262|21263|
 30498|Magadi Main Road, Tippagondana Halli Post, Thavarekere Hobli, Bangalore|Cholanayakana Halli|562120|Beside Ganapathi Temple And Maramma Temple|Near Cholanayakana Halli Bus Stop And Compound Insde V.S.S.B.N. Nyaya Bele Angadi|Yellow Colour Building And Blue Colour Door|Sheet Building And Infront Play Ground And White Colour Compound|242E, 242PA, 242Z|21384|21385|
